Team,Pos,Penalty,Games,Name,Age,Tgt,Rec,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Fumbles,PPG,ol,rb,wr,qb,te
den,RB,0.8000000000000002,12,Damarea Crockett,26.0,0.0,0.0,0.5833333333333334,0.0,0.25,0.0,0.0,0.0,0.05833333333333334,5.0,4.499999999999999,4.905,9.0,2.6000000000000005
den,TE,1.0,10,Greg Dulcich,23.0,5.5,3.3,0.0,0.0,0.0,41.1,0.2,0.0,8.61,5.0,4.499999999999999,4.905,9.0,2.6000000000000005
den,WR,1.0,7,KJ Hamler,24.0,2.0,1.0,3.2857142857142856,0.0,0.2857142857142857,23.571428571428573,0.0,0.0,3.685714285714286,5.0,4.499999999999999,4.905,9.0,2.6000000000000005
den,WR,1.0,12,Kendall Hinton,26.0,2.75,2.0,1.0833333333333333,0.0,0.16666666666666666,25.916666666666668,0.0,0.0,4.7,5.0,4.499999999999999,4.905,9.0,2.6000000000000005
den,WR,0.875,16,Lil\'Jordan Humphrey,25.0,1.375,0.9375,0.0,0.0,0.0,16.8125,0.125,0.0,3.3687500000000004,5.0,4.499999999999999,4.905,9.0,2.6000000000000005
den,WR,1.0,15,Jerry Jeudy,24.0,6.666666666666667,4.466666666666667,2.6666666666666665,0.0,0.26666666666666666,64.8,0.4,0.0,13.613333333333335,5.0,4.499999999999999,4.905,9.0,2.6000000000000005
den,WR,1.0,7,Brandon Johnson,25.0,2.0,0.8571428571428571,0.0,0.0,0.0,6.0,0.14285714285714285,0.14285714285714285,2.028571428571429,5.0,4.499999999999999,4.905,9.0,2.6000000000000005
den,RB,0.8705882352941177,17,Tony Jones,26.0,0.9411764705882353,0.5882352941176471,9.764705882352942,0.0,3.764705882352941,3.4705882352941178,0.0,0.0,1.9117647058823533,5.0,4.499999999999999,4.905,9.0,2.6000000000000005
den,TE,1.0,17,Chris Manhertz,31.0,0.47058823529411764,0.35294117647058826,0.0,0.0,0.0,2.4705882352941178,0.0,0.0,0.6000000000000001,5.0,4.499999999999999,4.905,9.0,2.6000000000000005
den,TE,1.0,8,Albert Okwuegbunam,25.0,2.25,1.25,0.0,0.0,0.0,11.875,0.125,0.0,3.1875,5.0,4.499999999999999,4.905,9.0,2.6000000000000005
den,WR,0.8,16,Tim Patrick,30.0,5.3125,3.3125,0.0,0.0,0.0,45.875,0.3125,0.0,9.775,5.0,4.499999999999999,4.905,9.0,2.6000000000000005
den,RB,1.0,16,Samaje Perine,28.0,3.1875,2.375,24.625,0.125,5.9375,17.9375,0.25,0.0,8.881250000000001,5.0,4.499999999999999,4.905,9.0,2.6000000000000005
den,WR,1.0,15,Courtland Sutton,28.0,7.266666666666667,4.266666666666667,0.3333333333333333,0.0,0.06666666666666667,55.266666666666666,0.13333333333333333,0.0,10.626666666666667,5.0,4.499999999999999,4.905,9.0,2.6000000000000005
den,WR,1.0,9,Jalen Virgil,25.0,0.5555555555555556,0.2222222222222222,0.0,0.0,0.0,8.333333333333334,0.1111111111111111,0.1111111111111111,1.5,5.0,4.499999999999999,4.905,9.0,2.6000000000000005
den,WR,1.0,15,Montrell Washington,24.0,0.6,0.26666666666666666,2.0,0.0,0.3333333333333333,0.13333333333333333,0.0,0.3333333333333333,-0.1866666666666666,5.0,4.499999999999999,4.905,9.0,2.6000000000000005
den,RB,0.8380952380952381,21,Javonte Williams,23.0,3.5714285714285716,2.8095238095238093,52.714285714285715,0.19047619047619047,11.904761904761905,18.666666666666668,0.14285714285714285,0.14285714285714285,11.661904761904761,5.0,4.499999999999999,4.905,9.0,2.6000000000000005
det,WR,0.8,8,Trinity Benson,26.0,2.75,1.25,0.0,0.0,0.0,12.875,0.0,0.0,2.5375,8.8,8.0,9.045000000000002,16.0,1.8
