team,ol,rb,wr,qb,te,year
pit,4,2.4,7.715,10,4,2021
sfo,6.8,4,3.285,3,4.4,2021
sea,7.8,7.1,8.86,17,2.8,2021
tam,9.2,7.1,7.525,15,5.4,2021
oti,7,12.7,8.09,16,1.8,2021
was,7.2,4.2,7.43,7,4,2021
crd,8.6,7.7,7.43,16,2,2022
atl,5.8,6.2,3.38,0,7,2022
rav,4.6,4.7,3.095,11,8.2,2022
buf,8.8,7.1,8.33,19,4.8,2022
car,5.6,5,5.9,10,1,2022
chi,7,5.1,7.19,6,4.4,2022
cin,6.4,7.9,10.57,15,1.8,2022
cle,7.4,8.2,5.19,2,3.6,2022
dal,8.2,8,5.995,14,5.6,2022
den,6.4,7.7,4.855,12,2.4,2022
det,5.8,6.4,5.285,10,4.2,2022
gnb,6,9,4.095,15,2,2022
htx,3.8,2.4,4.9,7,1.8,2022
clt,6,13.4,5.8,10,2.6,2022
jax,4.6,4.1,6.615,7,2.8,2022
kan,9.4,4.4,4.855,18,9,2022
rai,5.6,6.7,9.235,12,4.6,2022
sdg,8.6,10.2,9.005,18,4.4,2022
ram,6.6,4.5,10.375,15,4,2022
mia,6.2,6.4,8.33,10,5.4,2022
min,6.6,7.8,8.375,13,4,2022
nwe,5.8,7.1,7.86,14,5.4,2022
nor,5.4,6.5,5.38,5,5.2,2022
nyg,2.6,4.1,3.095,7,0.8,2022
nyj,7.2,4.7,4.38,5,4.8,2022
phi,8.6,6.4,8.475,17,7.2,2022
pit,6,7.3,5.765,0,3.4,2022
sfo,6.2,6.4,8.235,12,6.6,2022
sea,4.2,4.7,8.05,2,5.2,2022
tam,9.2,6.6,8.81,16,2,2022
oti,5.6,5.8,4.145,13,2.8,2022
was,5.4,7.1,4.375,14,2,2022
